Letter|Finished|TACE|Unicode11 |Unicode12|Unicode13|Unicode21|Unicode22|Unicode23|utf8_tace16_addend
ஹே|X|0xE378|0xe0|0xae|0xb9|0xe0|0xaf|0x87|7
ஹை|X|0xE379|0xe0|0xae|0xb9|0xe0|0xaf|0x88|8
ஹொ|X|0xE37A|0xe0|0xae|0xb9|0xe0|0xaf|0x8a|9
ஹோ|X|0xE37B|0xe0|0xae|0xb9|0xe0|0xaf|0x8b|10
ஹௌ|X|0xE37C|0xe0|0xae|0xb9|0xe0|0xaf|0x8c|11
க்ஷ்||0xE380|||||||0
க்ஷ||0xE381|||||||0
க்ஷா||0xE382|||||||0
க்ஷி||0xE383|||||||0
க்ஷீ||0xE384|||||||0
க்ஷு||0xE385|||||||0
க்ஷூ||0xE386|||||||0
க்ஷெ||0xE387|||||||0
க்ஷே||0xE388|||||||0
க்ஷை||0xE389|||||||0
க்ஷொ||0xE38A|||||||0
க்ஷோ||0xE38B|||||||0
க்ஷௌ||0xE38C|||||||0
ஸ்ரீ||0xE38D|||||||0
்|X|0xE1F0|0xe0|0xae|0x82||||0
ா|X|0xE1F2|0xe0|0xae|0xbe||||0
ி|X|0xE1F3|0xe0|0xae|0xbf||||0
ீ|X|0xE1F4|0xe0|0xaf|0x80||||0
ு|X|0xE1F5|0xe0|0xaf|0x81||||0
ூ|X|0xE1F6|0xe0|0xaf|0x82||||0
ெ|X|0xE1F7|0xe0|0xaf|0x86||||0
ே|X|0xE1F8|0xe0|0xaf|0x87||||0
ை|X|0xE1F9|0xe0|0xaf|0x88||||9
ொ|X|0xE1FA|0xe0|0xaf|0x8a||||0
ோ|X|0xE1FB|0xe0|0xaf|0x8b||||0
ௌ|X|0xE1FC|0xe0|0xaf|0x8c||||0
௦|X|0xE180|0xe0|0xaf|0xa6||||0
௧|X|0xE181|0xe0|0xaf|0xa7||||0
௨|X|0xE182|0xe0|0xaf|0xa8||||0
௩|X|0xE183|0xe0|0xaf|0xa9||||0
௪|X|0xE184|0xe0|0xaf|0xaa||||0
௫|X|0xE185|0xe0|0xaf|0xab||||0
௬|X|0xE186|0xe0|0xaf|0xac||||0
௭|X|0xE187|0xe0|0xaf|0xad||||0
௮|X|0xE188|0xe0|0xaf|0xae||||0
௯|X|0xE189|0xe0|0xaf|0xaf||||9
௰|X|0xE18A|0xe0|0xaf|0xb0||||0
௱|X|0xE18B|0xe0|0xaf|0xb1||||0
௲|X|0xE18C|0xe0|0xaf|0xb2||||0
